frame,t,state,red_score,amber_score,green_score,before_v2_rule
618,20.621,red,143.2,-4.4,-0.2,red
621,20.721,red,144.1,-5.6,1.4,red
624,20.821,red,144.3,-5.2,0.8,red
627,20.921,red,144.6,-4.8,0.1,red
630,21.021,red,142.4,-5.9,0.8,red
633,21.121,red,142.2,-5.6,0.7,red
636,21.221,red,143.8,-6.2,2.5,red
639,21.321,red,143.0,-5.4,2.7,red
642,21.421,red,143.4,-6.6,0.2,red
645,21.522,red,143.5,-5.1,0.8,red
648,21.622,red,143.2,-5.6,2.6,red
651,21.722,red,144.4,-5.4,0.4,red
654,21.822,red,144.1,-5.4,1.3,red
657,21.922,red,143.0,-5.7,1.6,red
660,22.022,red,143.1,-5.9,0.6,red
663,22.122,red,143.1,-5.3,-0.7,red
666,22.222,red,143.3,-6.1,1.5,red
669,22.322,red,142.2,-5.5,1.6,red
672,22.422,red,143.6,-4.6,-0.4,red
675,22.522,red,142.8,-5.0,1.0,red
678,22.623,red,143.9,-4.7,0.3,red
681,22.723,red,142.8,-4.7,0.7,red
684,22.823,red,142.6,-4.9,1.5,red
687,22.923,red,141.6,-4.9,0.8,red
690,23.023,red,141.6,-4.6,1.3,red
693,23.123,red,142.8,-4.7,0.4,red
696,23.223,red,141.8,-6.0,0.8,red
699,23.323,red,143.8,-5.9,0.3,red
702,23.423,red,144.1,-4.5,1.0,red
705,23.524,red,143.6,-5.6,1.1,red
708,23.624,red,143.1,-5.7,1.3,red
711,23.724,red,143.0,-5.9,1.3,red
714,23.824,red,141.4,-5.2,0.6,red
717,23.924,red,142.4,-5.5,0.9,red
720,24.024,red,142.1,-5.0,1.9,red
723,24.124,red,143.1,-5.1,0.1,red
726,24.224,red,142.9,-5.5,0.8,red
729,24.324,red,143.1,-5.2,1.1,red
732,24.424,red,142.8,-4.9,0.6,red
735,24.524,red,143.8,-3.9,1.1,red
738,24.625,red,141.7,-4.8,1.5,red
741,24.725,red,142.1,-5.2,0.7,red
744,24.825,red,142.9,-5.1,0.6,red
747,24.925,red,143.1,-5.4,0.8,red
750,25.025,red,142.4,-4.7,1.6,red
753,25.125,red,142.5,-4.9,1.7,red
756,25.225,red,141.4,-5.0,1.1,red
759,25.325,red,143.4,-4.8,0.7,red
762,25.425,red,143.3,-4.9,2.5,red
765,25.526,red,141.7,-4.8,1.6,red
768,25.626,red,143.7,-5.0,1.2,red
771,25.726,red,141.4,-6.4,2.1,red
774,25.826,red,143.2,-5.4,0.9,red
777,25.926,red,142.4,-4.3,1.4,red
780,26.026,red,143.0,-6.2,0.6,red
783,26.126,red,142.7,-5.8,0.8,red
786,26.226,red,142.7,-5.7,0.8,red
789,26.326,red,143.0,-5.3,1.3,red
792,26.426,red,143.1,-5.4,0.1,red
795,26.527,red,142.1,-5.2,1.5,red
798,26.627,red,144.0,-6.4,1.1,red
801,26.727,red,142.0,-4.1,1.3,red
804,26.827,red,143.6,-4.5,1.0,red
807,26.927,red,144.0,-6.1,0.6,red
810,27.027,red,142.3,-6.2,-0.2,red
813,27.127,red,141.8,-5.4,0.1,red
816,27.227,red,141.9,-6.2,0.2,red
819,27.327,red,142.5,-6.2,1.8,red
822,27.427,red,143.6,-6.5,0.9,red
825,27.528,red,142.1,-5.7,0.6,red
828,27.628,red,142.6,-4.8,0.5,red
831,27.728,red,141.6,-5.8,1.3,red
834,27.828,red,142.2,-5.6,1.3,red
837,27.928,red,142.2,-4.8,2.7,red
840,28.028,red,142.8,-5.8,0.9,red
843,28.128,red,141.1,-5.8,0.4,red
846,28.228,red,142.6,-5.9,2.3,red
849,28.328,red,142.7,-4.9,0.2,red
852,28.428,red,142.3,-5.2,1.8,red
855,28.528,red,141.8,-5.7,-0.4,red
858,28.629,red,143.2,-5.5,1.1,red
861,28.729,red,142.8,-4.9,1.0,red
864,28.829,red,143.8,-5.8,0.9,red
867,28.929,red,143.7,-4.3,2.2,red
870,29.029,red,144.2,-5.7,0.4,red
873,29.129,red,143.3,-5.5,0.5,red
876,29.229,red,143.9,-5.4,0.9,red
879,29.329,red,143.8,-5.1,1.4,red
882,29.429,red,143.7,-6.3,1.2,red
885,29.53,red,145.2,-6.1,1.3,red
888,29.63,red,143.4,-5.6,2.0,red
891,29.73,red,144.9,-4.5,1.4,red
894,29.83,red,144.3,-4.3,1.5,red
897,29.93,red,145.0,-5.1,0.4,red
900,30.03,red,142.9,-4.7,1.1,red
903,30.13,red,143.6,-4.6,1.4,red
906,30.23,red,144.3,-4.2,0.2,red
909,30.33,red,141.2,-4.3,0.5,red
912,30.43,red,143.1,-4.5,1.9,red
915,30.53,red,142.9,-5.1,0.9,red
918,30.631,red,142.4,-5.9,1.0,red
921,30.731,red,143.0,-4.9,-0.0,red
924,30.831,red,143.1,-6.1,1.1,red
927,30.931,red,143.1,-4.1,0.4,red
930,31.031,red,143.9,-4.3,1.2,red
933,31.131,red,144.0,-4.4,0.5,red
936,31.231,red,142.9,-4.8,0.6,red
939,31.331,red,143.1,-4.3,0.9,red
942,31.431,red,143.2,-4.4,0.3,red
945,31.532,red_amber,142.9,66.5,2.2,red
948,31.632,red_amber,143.4,66.6,-0.1,red
951,31.732,red_amber,143.0,65.6,1.6,red
954,31.832,red_amber,144.0,64.3,0.9,red
957,31.932,red_amber,143.6,63.6,0.2,red
960,32.032,red_amber,143.4,63.9,-0.9,red
963,32.132,red_amber,143.7,63.5,1.1,red
966,32.232,red_amber,143.7,63.5,0.3,red
969,32.332,red_amber,144.6,63.4,0.4,red
972,32.432,red_amber,143.9,62.5,0.1,red
975,32.532,red_amber,143.9,63.3,-0.3,red
